Time,PTSI,VSI,VCPI,Frequency,df/dt,Voltage
3.2,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.21,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.22,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.23,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.24,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.25,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.26,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.27,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.28,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.29,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.3,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.31,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.32,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.33,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.34,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.35,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.36,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.37,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.38,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.39,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.4,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.41,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.42,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.43,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.44,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.45,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.46,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.47,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.48,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.49,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.5,0.7589358744,0.999500634,0.0588738002,50,0,0.95951
3.505,1.1223837526,0.9992908014,0.0587568361,50,0,0.959616
3.511667,0.6846397378,0.9995246766,0.0587491129,50,-0.2126,0.959623
3.521667,0.5311977931,0.99962271,0.0587435965,49.997874,-0.0383,0.959628
3.531667,0.3502565724,0.9997493314,0.0587391834,49.997491,-0.0365,0.959632
3.541667,0.2005165027,0.9998433401,0.0587369768,49.997126,-0.0369,0.959634
3.551667,0.0748601126,0.9999246073,0.0587347703,49.996757,-0.0383,0.959636
3.561667,0.0189494978,0.999979199,0.0587325637,49.996374,-0.0401,0.959638
3.571667,0.0942486463,0.9998807667,0.0587314605,49.995973,-0.0418,0.959639
3.581667,0.1524237076,0.9998017056,0.0587303572,49.995555,-0.0435,0.95964
3.591667,0.1961290792,0.999740392,0.058729254,49.99512,-0.0451,0.959641
3.601667,0.1961290792,0.999740656,0.0587281507,49.994669,-0.0465,0.959642
3.611667,0.2651129511,0.9996416665,0.0587281507,49.994204,-0.0479,0.959642
3.621667,0.286212962,0.9996105706,0.0587270475,49.993725,-0.049,0.959643
3.631667,0.3040069029,0.999584056,0.0587259442,49.993235,-0.0502,0.959644
3.641667,0.3232140579,0.9995557948,0.058724841,49.992733,-0.0512,0.959645
3.651667,0.3232140579,0.999556273,0.0587237377,49.992221,-0.0521,0.959646
3.661667,0.3465056742,0.9995210913,0.0587237377,49.9917,-0.0529,0.959646
3.671667,0.3507030264,0.999514559,0.0587226345,49.991171,-0.0538,0.959647
